(1471.4,4208.33)
(4316.41,-1870.28)
(-1872.65,-3966.32)
(-3200.75,1828.01)
(1511.78,2100.8)
(790.124,-1029.1)
(-529.489,589.311)
(1903.27,-174.583)
(-631.418,-3015.9)
(-3826.58,1271.23)
(1516.5,4241.99)
(4222.09,-1862.9)
(-1809.58,-3754.56)
(-2894.28,1719.76)
(1368.77,1731.44)
(395.826,-866.221)
(-365.463,967.995)
(2227.45,-326.974)
(-751.926,-3251.78)
(-3949.93,1353.32)
(1545.71,4240.19)
(4096.23,-1841.89)
(-1736.25,-3518.39)
(-2572.99,1605.73)
(1224.88,1358.36)
(9.27265,-707.402)
(-210.076,1328.29)
(2524.55,-467.21)
(-857.79,-3454.73)
(-4037.97,1420.05)
(1560.17,4204.33)
(3941.13,-1808.5)
(-1653.96,-3260.74)
(-2240.2,1487.19)
(1081.33,984.875)
(-366.621,-553.703)
(-64.1625,1668.06)
(2793.53,-594.825)
(-949.026,-3624.95)
(-4092.09,1472.05)
(1561.1,4136.8)
(3759.74,-1764.47)
(-1564.72,-2984.76)
(-1898.82,1366.14)
(939.743,613.379)
(-730.151,-406.101)
(72.0862,1986.34)
(3034.1,-710.406)
(-1026.81,-3762.74)
(-4113.15,1510.83)
(1550.04,4038.95)
(3553.93,-1711.16)
(-1469.56,-2692.75)
(-1551.47,1243.27)
(800.516,246.565)
(-1078.86,-264.795)
(198.608,2281.23)
(3245.23,-814.03)
(-1091.36,-3868.14)
(-4102.27,1536.83)
(1527.67,3912.9)
(3326.52,-1649.5)
(-1369.59,-2387.89)
(-1201.27,1119.74)
(664.73,-112.829)
(-1410.69,-130.612)
(314.932,2551.58)
(3426.74,-905.662)
(-1143.07,-3941.95)
(-4061.13,1550.84)
(1495.1,3761.02)
(3080.33,-1580.81)
(-1266.2,-2073.12)
(-850.98,996.914)
(533.513,-462.599)
(-1724.23,-4.30079)
(420.812,2796.84)
(3579,-985.641)
(-1182.81,-3985.33)
(-3991.5,1554.18)
(1453.81,3585.43)
(2817.63,-1506.59)
(-1160.64,-1750.68)
(-502.651,875.632)
(407.274,-800.977)
(-2018.12,114.145)
(516.568,3016.27)
(3701.95,-1054.53)
(-1211.28,-3998.97)
(-3894.82,1547.66)
(1404.7,3388.22)
(2540.92,-1427.77)
(-1053.83,-1423.18)
(-158.676,756.727)
(286.625,-1126.07)
(-2291.18,224.438)
(602.282,3209.44)
(3795.97,-1112.79)
(-1229.23,-3983.97)
(-3772.79,1532.24)
(1348.79,3171.54)
(2252.6,-1345.37)
(-946.66,-1093.01)
(178.794,640.934)
(172.058,-1436.23)
